category,variable,seriesId,seriesName,multiplier,notes1,notes2
,,gen_NA_NA_NA_munwst_NA_NA_blnkwh,"Renewable Energy : All Sectors : Electricity Generation : Municipal Waste, United States",1,not in template anymore,Primary Energy|Biomass|Electricity
,,gen_NA_NA_NA_wbm_NA_NA_blnkwh,"Renewable Energy : All Sectors : Electricity Generation : Wood and Other Biomass, United States",1,not in template anymore,Primary Energy|Biomass|Electricity
,Price|Primary Energy|Gas,prce_hhp_NA_NA_ng_NA_usa_y13dlrpmmbtu,Natural Gas : Henry Hub Spot Price,1,,
,Price|Primary Energy|Coal,prce_NA_NA_NA_cl_mnmth_NA_y13dlrpmmbtu,Coal Supply : Average Minemouth Price,1,,
,Price|Primary Energy|Oil,prce_NA_NA_NA_cr_wti_usa_y13dlrpbbl,Real Petroleum Prices : Crude Oil : West Texas Intermediate Spot,1,,
,Price|Final Energy|Commercial|Oil,prce_real_comm_NA_dfo_NA_NA_y13dlrpmmbtu,com oil price,1,,
,Price|Final Energy|Commercial|Electricity,prce_real_comm_NA_elc_NA_NA_y13dlrpmmbtu,com elc price,1,,
,Price|Final Energy|Commercial|Gas,prce_real_comm_NA_ng_NA_NA_y13dlrpmmbtu,com gas price,1,,
,NA,prce_real_elep_NA_ng_NA_NA_y13dlrpmmbtu,"Energy Prices : Electric Power : Natural Gas, United States",1,"variable not pulling correctly from EIA, probably something to do with units, but still unsure",Price|Final Energy|Electricity|Gas
,Price|Final Energy|Industrial|Oil,prce_real_idal_NA_dfo_NA_NA_y13dlrpmmbtu,ind oil price,1,,
,Price|Final Energy|Industrial|Electricity,prce_real_idal_NA_elc_NA_NA_y13dlrpmmbtu,ind elc price,1,,
,Price|Final Energy|Industrial|Gas,prce_real_idal_NA_ng_NA_NA_y13dlrpmmbtu,ind gas price,1,,
,Price|Final Energy|Residential|Electricity,prce_real_resd_NA_elc_NA_NA_y13dlrpmmbtu,res elc price,1,,
,Price|Final Energy|Residential|Gas,prce_real_resd_NA_ng_NA_NA_y13dlrpmmbtu,res gas price,1,,
,Price|Final Energy|Residential|Oil,prce_real_resd_NA_prop_NA_NA_y13dlrpmmbtu,res oil price,1,,
,Price|Final Energy|Electricity,prce_real_ten_NA_elc_NA_NA_y13dlrpmmbtu,elc price,1,,
,,prce_real_ten_NA_elc_NA_NA_y13dlrpmmbtu,"Energy Prices : Average Price to All Users : Electricity, United States",1,Alternate electricity price,Price|Electricity|Average Price to All Users
,Price|Final Energy|Oil,prce_real_ten_NA_mgs_NA_NA_y13dlrpmmbtu,oil price,1,,
,Price|Final Energy|Gas,prce_real_ten_NA_ng_NA_NA_y13dlrpmmbtu,"Energy Prices : Average Price to All Users : Natural Gas, United States",1,,
,Price|Final Energy|Transportation|Oil|Diesel,prce_real_trn_NA_dfu_NA_NA_y13dlrpmmbtu,"Energy Prices : Transportation : Diesel Fuel, United States",1,,
,Price|Final Energy|Transportation|Electricity,prce_real_trn_NA_elc_NA_NA_y13dlrpmmbtu,trn elc price,1,,
,Price|Final Energy|Transportation|Oil|Jet Fuel,prce_real_trn_NA_jfl_NA_NA_y13dlrpmmbtu,trn jet fuel price,1,,
,Price|Final Energy|Transportation|Oil|Gasoline,prce_real_trn_NA_mgs_NA_NA_y13dlrpmmbtu,trn gasoline price,1,,
,Price|Final Energy|Transportation|Gas,prce_real_trn_NA_ng_NA_NA_y13dlrpmmbtu,trn gas price,1,,
,Primary Energy|Coal,sup_prd_ten_NA_cl_NA_usa_qbtu,Total Energy : Production : Coal,1,,
,Primary Energy|Fossil,sup_prd_ten_NA_cl_NA_usa_qbtu,Total Energy : Production : Coal,1,,
,Primary Energy|Fossil,sup_prd_ten_NA_clc_NA_usa_qbtu,Total Energy : Production : Crude Oil and Lease Condensate,1,,
,Primary Energy|Fossil,sup_prd_ten_NA_dng_NA_usa_qbtu,Total Energy : Production : Dry Natural Gas,1,,
,Primary Energy|Fossil,sup_prd_ten_NA_ngp_NA_usa_qbtu,Total Energy : Production : Natural Gas Plant Liquids,1,,
,Primary Energy|Nuclear,sup_prd_ten_NA_nuc_NA_usa_qbtu,Total Energy : Production : Nuclear,1,,
,Primary Energy,sup_prd_ten_NA_tot_NA_usa_qbtu,Total Energy : Production : Total,1,,
,Primary Energy|Coal,trad_exp_ten_NA_cl_NA_usa_qbtu,Total Energy : Exports : Coal,-1,,
,Primary Energy|Fossil,trad_exp_ten_NA_cl_NA_usa_qbtu,Total Energy : Exports : Coal,-1,not in template anymore,Primary Energy|Coal|Electricity
,Primary Energy|Fossil,trad_exp_ten_NA_ng_NA_usa_qbtu,Total Energy : Exports : Natural Gas,-1,,
,Primary Energy|Fossil,trad_exp_ten_NA_pet_NA_usa_qbtu,Total Energy : Exports : Petroleum,-1,,
,Primary Energy,trad_exp_ten_NA_tot_NA_usa_qbtu,Total Energy : Exports : Total,-1,subtract out exports,
,Primary Energy|Fossil,trad_imp_ten_NA_cr_NA_usa_qbtu,Total Energy : Imports : Crude Oil,1,,
,Primary Energy|Fossil,trad_imp_ten_NA_lfl_NA_usa_qbtu,Total Energy : Imports : Liquid Fuels,1,,
,Primary Energy|Fossil,trad_imp_ten_NA_ng_NA_usa_qbtu,Total Energy : Imports : Natural Gas,1,,
,Primary Energy,trad_imp_ten_NA_tot_NA_usa_qbtu,Total Energy : Imports : Total,1,,
,,trad_NA_elep_NA_netimp_NA_usa_blnkwh,Electricity : Net Imports,1,not in EMF37 template,Secondary Energy|Electricity|Imports
