Variable,Series_Name,Series_template,Factor,notes,notes_variable
Emissions|CO2|Energy|Demand|Transportation,Carbon Dioxide : Transportation,emi_co2_trn_NA_NA_NA_NA_millmetnco2,1,,
Primary Energy|Geothermal,Renewable Energy : All Sectors : Generation : Geothermal,gen_NA_alls_NA_geothm_NA_NA_blnkwh,1,not in template anymore,Primary Energy|Gas|Electricity
Secondary Energy|Electricity|Biomass,Renewable Energy : Electric Power Sector : Generation : Biogenic Municipal Waste,gen_NA_elep_NA_bgm_NA_NA_blnkwh,1,,
Secondary Energy|Electricity|Biomass,Renewable Energy : Electric Power Sector : Generation : Biomass : Cofiring,gen_NA_elep_NA_cfr_NA_NA_blnkwh,1,,
,"Electricity : Electric Power Sector : Generation : Coal, United States",gen_NA_elep_NA_cl_NA_NA_blnkwh,1,,
Secondary Energy|Electricity|Biomass,Renewable Energy : Electric Power Sector : Generation : Biomass : Dedicated Plants,gen_NA_elep_NA_dpe_NA_NA_blnkwh,1,,
Secondary Energy|Electricity|Geothermal,Renewable Energy : Electric Power Sector : Generation : Geothermal,gen_NA_elep_NA_geothm_NA_NA_blnkwh,1,,
Secondary Energy|Electricity|Hydro,Renewable Energy : Electric Power Sector : Generation : Hydropower,gen_NA_elep_NA_hyd_cnv_NA_blnkwh,1,,
,"Electricity : Electric Power Sector : Generation : Natural Gas, United States",gen_NA_elep_NA_ng_NA_NA_blnkwh,1,,
,"Electricity : Electric Power Sector : Generation : Nuclear, United States",gen_NA_elep_NA_nuc_NA_NA_blnkwh,1,add to EMF template?,Primary Energy|Nuclear|Electricity
,"Electricity : Electric Power Sector : Generation : Petroleum, United States",gen_NA_elep_NA_pet_NA_NA_blnkwh,1,not in template anymore,Primary Energy|Oil|Electricity
Secondary Energy|Electricity|Solar,Renewable Energy : Electric Power Sector : Generation : Solar Photovoltaic,gen_NA_elep_NA_slr_phtvl_NA_blnkwh,1,,
Secondary Energy|Electricity|Solar|PV,Renewable Energy : Electric Power Sector : Generation : Solar Photovoltaic,gen_NA_elep_NA_slr_phtvl_NA_blnkwh,1,,
Secondary Energy|Electricity|Solar,Renewable Energy : Electric Power Sector : Generation : Solar Thermal,gen_NA_elep_NA_slr_therm_NA_blnkwh,1,,
Secondary Energy|Electricity|Solar|CSP,Renewable Energy : Electric Power Sector : Generation : Solar Thermal,gen_NA_elep_NA_slr_therm_NA_blnkwh,1,,
Secondary Energy|Electricity,Electricity : Total Electricity Generation,gen_NA_elep_NA_teg_NA_usa_blnkwh,1,,
Secondary Energy|Electricity|Biomass,Renewable Energy : Electric Power Sector : Generation : Wood and Other Biomass,gen_NA_elep_NA_wbm_NA_NA_blnkwh,1,,
Secondary Energy|Electricity|Wind,Renewable Energy : Electric Power Sector : Generation : Wind,gen_NA_elep_NA_wnd_NA_NA_blnkwh,1,,
Secondary Energy|Electricity|Wind|Onshore,Renewable Energy : Electric Power Sector : Generation : Wind,gen_NA_elep_NA_wnd_NA_NA_blnkwh,1,,
Secondary Energy|Electricity|Wind|Offshore,Renewable Energy : Electric Power Sector : Generation : Offshore Wind,gen_NA_elep_NA_wnd_ofs_NA_blnkwh,1,,
Secondary Energy|Electricity|Wind|Onshore,Renewable Energy : Electric Power Sector : Generation : Offshore Wind,gen_NA_elep_NA_wnd_ofs_NA_blnkwh,-1,,
Secondary Energy|Electricity|Coal,Electricity : Total Electricity Generation by Fuel : Coal,gen_NA_elep_tge_cl_NA_usa_blnkwh,1,,
Secondary Energy|Electricity|Gas,Electricity : Total Electricity Generation by Fuel : Natural Gas,gen_NA_elep_tge_ng_NA_usa_blnkwh,1,,
Secondary Energy|Electricity|Nuclear,Electricity : Total Electricity Generation by Fuel : Nuclear,gen_NA_elep_tge_nup_NA_usa_blnkwh,1,,
,Electricity : Total Electricity Generation by Fuel : Other,gen_NA_elep_tge_oth_NA_usa_blnkwh,1,not in EMF37 template,Secondary Energy|Electricity|Other
Secondary Energy|Electricity|Oil,Electricity : Total Electricity Generation by Fuel : Petroleum,gen_NA_elep_tge_pet_NA_usa_blnkwh,1,,
,"Renewable Energy : All Sectors : Electricity Generation : Municipal Waste, United States",gen_NA_NA_NA_munwst_NA_NA_blnkwh,1,not in template anymore,Primary Energy|Biomass|Electricity
,"Renewable Energy : All Sectors : Electricity Generation : Wood and Other Biomass, United States",gen_NA_NA_NA_wbm_NA_NA_blnkwh,1,not in template anymore,Primary Energy|Biomass|Electricity
Price|Primary Energy|Gas,Natural Gas : Henry Hub Spot Price,prce_hhp_NA_NA_ng_NA_usa_y13dlrpmmbtu,1,,
Price|Primary Energy|Coal,Coal Supply : Average Minemouth Price,prce_NA_NA_NA_cl_mnmth_NA_y13dlrpmmbtu,1,,
Price|Primary Energy|Oil,Real Petroleum Prices : Crude Oil : West Texas Intermediate Spot,prce_NA_NA_NA_cr_wti_usa_y13dlrpbbl,1,,
Price|Final Energy|Commercial|Oil,com oil price,prce_real_comm_NA_dfo_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Commercial|Electricity,com elc price,prce_real_comm_NA_elc_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Commercial|Gas,com gas price,prce_real_comm_NA_ng_NA_NA_y13dlrpmmbtu,1,,
NA,"Energy Prices : Electric Power : Natural Gas, United States",prce_real_elep_NA_ng_NA_NA_y13dlrpmmbtu,1,"variable not pulling correctly from EIA, probably something to do with units, but still unsure",Price|Final Energy|Electricity|Gas
Price|Final Energy|Industrial|Oil,ind oil price,prce_real_idal_NA_dfo_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Industrial|Electricity,ind elc price,prce_real_idal_NA_elc_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Industrial|Gas,ind gas price,prce_real_idal_NA_ng_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Residential|Electricity,res elc price,prce_real_resd_NA_elc_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Residential|Gas,res gas price,prce_real_resd_NA_ng_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Residential|Oil,res oil price,prce_real_resd_NA_prop_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Electricity,elc price,prce_real_ten_NA_elc_NA_NA_y13dlrpmmbtu,1,,
,"Energy Prices : Average Price to All Users : Electricity, United States",prce_real_ten_NA_elc_NA_NA_y13dlrpmmbtu,1,Alternate electricity price,Price|Electricity|Average Price to All Users
Price|Final Energy|Oil,oil price,prce_real_ten_NA_mgs_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Gas,"Energy Prices : Average Price to All Users : Natural Gas, United States",prce_real_ten_NA_ng_NA_NA_y13dlrpmmbtu,1,,
Price|Final Energy|Transportation|Oil|Diesel,"Energy Prices : Transportation : Diesel Fuel, United States",prce_real_trn_NA_dfu_NA_NA_y13dlrpmmbtu,1,,
